"Source:","C:\Users\d028312\OneDrive - SAP SE\Projekte\Frequency Counter\SchaltungKiCad\Frontplatte\Frontplatte.kicad_sch"
"Date:","07.03.2022 16:20:37"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","49"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","R18","4,7k","Frontplatte-rescue:R-Device-Frontplatte-rescue","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical",""
"","","R19","220","Frontplatte-rescue:R-Device-Frontplatte-rescue","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical",""
"","","R20","4,7k","Frontplatte-rescue:R-Device-Frontplatte-rescue","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"","","R21","4,7k","Frontplatte-rescue:R-Device-Frontplatte-rescue","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"","","R22","4,7k","Frontplatte-rescue:R-Device-Frontplatte-rescue","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal",""
"","","S1","SCHADOW_Button","Frontplatte-rescue:SCHADOW_Button-Frequenzzähler-Frontplatte-rescue","Libs:SCHADOW_Button",""
"","","S2","SCHADOW_Button","Frontplatte-rescue:SCHADOW_Button-Frequenzzähler-Frontplatte-rescue","Libs:SCHADOW_Button",""
"","","S3","SCHADOW_Button","Frontplatte-rescue:SCHADOW_Button-Frequenzzähler-Frontplatte-rescue","Libs:SCHADOW_Button",""
"","","S4","SCHADOW_Button","Frontplatte-rescue:SCHADOW_Button-Frequenzzähler-Frontplatte-rescue","Libs:SCHADOW_Button",""
"","","S5","SCHADOW_Button","Frontplatte-rescue:SCHADOW_Button-Frequenzzähler-Frontplatte-rescue","Libs:SCHADOW_Button",""
"","","S6","SCHADOW_Button","Frontplatte-rescue:SCHADOW_Button-Frequenzzähler-Frontplatte-rescue","Libs:SCHADOW_Button",""
"","","S7","SCHADOW_Button","Frontplatte-rescue:SCHADOW_Button-Frequenzzähler-Frontplatte-rescue","Libs:SCHADOW_Button",""
